exit_type,mm_per_person,minimum_mm,minimum_mm_low_rise,source
doorway,6.1,800,800,BCBC 2024 3.4.3.2.(1)(a) and Table 3.4.3.2.-A
stairs,8.0,1100,900,BCBC 2024 3.4.3.2.(1)(b) and Table 3.4.3.2.-A
stairs_steep,9.2,1100,900,BCBC 2024 3.4.3.2.(1)(c) and Table 3.4.3.2.-A
